Rank,Name,Price,1h %,24h %,7d %,Market Cap,Volume
1,"Bitcoin
BTC
Buy","$103,103.74",0.28%,0.34%,0.59%,"$2,050,830,686,757","$37,907,373,331
367.18K BTC"
2,"Ethereum
ETH
Buy","$2,469.56",0.81%,3.40%,2.16%,"$298,144,877,018","$18,414,743,066
7.42M ETH"
3,"Tether
USDT
Buy",$1.00,0.00%,0.00%,0.02%,"$151,252,638,160","$60,969,006,991
60.95B USDT"
4,"XRP
XRP
Buy",$2.35,0.03%,1.48%,3.14%,"$138,222,837,568","$3,106,246,334
1.31B XRP"
5,"BNB
BNB
Buy",$639.75,0.32%,0.89%,2.23%,"$90,133,854,801","$1,457,528,187
2.27M BNB"
6,"Solana
SOL
Buy",$166.81,0.36%,1.02%,3.96%,"$86,712,087,855","$2,891,119,778
17.33M SOL"
7,"USDC
USDC
Buy",$0.9998,0.00%,0.00%,0.02%,"$60,888,253,866","$7,158,384,337
7.15B USDC"
8,"Dogecoin
DOGE
Buy",$0.2140,0.26%,3.71%,10.44%,"$31,952,233,230","$1,514,605,985
7.00B DOGE"
9,"Cardano
ADA
Buy",$0.7451,0.60%,2.32%,9.27%,"$26,319,019,102","$979,634,591
1.31B ADA"
10,"TRON
TRX
Buy",$0.2715,0.13%,0.58%,3.77%,"$25,766,749,334","$651,355,248
2.39B TRX"
11,"Sui
SUI
Buy",$3.78,0.57%,0.81%,5.92%,"$12,641,219,220","$1,024,867,880
268.19M SUI"
12,"Chainlink
LINK
Buy",$15.38,0.13%,2.93%,10.24%,"$10,112,090,891","$362,641,251
23.56M LINK"
13,"Avalanche
AVAX
Buy",$22.37,0.49%,3.31%,12.22%,"$9,411,881,101","$314,152,147
14.03M AVAX"
14,"Stellar
XLM
Buy",$0.2846,0.08%,2.71%,7.99%,"$8,842,395,698","$179,940,241
626.63M XLM"
15,"Hyperliquid
HYPE
Buy",$25.94,0.23%,4.62%,1.66%,"$8,663,373,536","$152,836,161
5.89M HYPE"
16,"Shiba Inu
SHIB
Buy",$0.00001408,0.09%,3.67%,12.93%,"$8,301,006,171","$212,294,904
14.93T SHIB"
17,"UNUS SED LEO
LEO
Buy",$8.94,0.01%,0.92%,5.97%,"$8,260,572,211","$2,279,681
254.86K LEO"
18,"Hedera
HBAR
Buy",$0.1909,0.11%,2.76%,11.26%,"$8,064,636,851","$158,928,221
832.41M HBAR"
19,"Bitcoin Cash
BCH
Buy",$390.77,0.49%,1.51%,7.57%,"$7,765,165,578","$246,107,859
626.86K BCH"
20,"Toncoin
TON
Buy",$3.07,0.07%,2.42%,9.90%,"$7,650,893,950","$146,044,351
47.31M TON"
21,"Litecoin
LTC
Buy",$97.01,0.25%,2.34%,6.64%,"$7,360,404,301","$502,148,684
5.17M LTC"
22,"Polkadot
DOT
Buy",$4.64,0.45%,3.08%,9.35%,"$7,323,958,524","$175,821,437
37.89M DOT"
23,"Monero
XMR
Buy",$335.36,0.24%,0.40%,4.26%,"$6,186,461,153","$75,682,033
225.66K XMR"
24,"Bitget Token
BGB
Buy",$4.96,0.03%,0.88%,1.39%,"$5,809,060,472","$155,234,512
31.31M BGB"
25,"Dai
DAI
Buy",$0.9999,0.01%,0.00%,0.00%,"$5,365,009,192","$16,942,472,126
16.94B DAI"
26,"Pepe
PEPE
Buy",$0.00001207,1.77%,7.13%,10.16%,"$5,081,440,007","$933,908,464
76.21T PEPE"
27,"Ethena USDe
USDe
Buy",$1.00,0.00%,0.02%,0.03%,"$4,986,785,651","$88,382,519
88.32M USDe"
28,"Pi
PI
Buy",$0.6829,1.49%,10.76%,7.94%,"$4,889,722,687","$320,510,365
465.00M PI"
29,"Bittensor
TAO
Buy",$420.17,0.27%,3.07%,8.33%,"$3,700,692,231","$100,067,321
235.80K TAO"
30,"Uniswap
UNI
Buy",$5.68,1.43%,7.06%,18.06%,"$3,573,496,943","$215,672,082
37.57M UNI"
31,"Aave
AAVE
Buy",$221.31,1.19%,4.04%,2.30%,"$3,345,648,276","$284,459,496
1.27M AAVE"
32,"NEAR Protocol
NEAR
Buy",$2.67,0.34%,4.36%,17.35%,"$3,255,749,433","$181,723,358
67.09M NEAR"
